,unix,month_num,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,year,month
0,1504137600,1,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,,2017,8
1,1506729600,2,BTC/USDT,4174.69,4380,4138.1,4378.51,705.52,3025265.75,,2017,9
2,1509408000,3,BTC/USDT,6120.5,6498.01,6100,6463,1498.91,9405855.26,,2017,10
3,1512000000,4,BTC/USDT,9687.88,10900,8850.8,9838.96,9181.76,89443707.91,,2017,11
4,1.51468E+12,5,BTC/USDT,12345.1,14050.11,12149.98,13716.36,11768.98972,155283285.4,138893,2017,12
5,1.51736E+12,6,BTC/USDT,10230,10425.85,9700,10285.1,18015.95681,181644207.1,201422,2018,1
6,1.51978E+12,7,BTC/USDT,10584.33,11098,10300,10326.76,30800.98378,327914696.1,277886,2018,2
7,1.52245E+12,8,BTC/USDT,6840.24,7223.36,6777,6923.91,36868.53909,258341534.5,240293,2018,3
8,1.52505E+12,9,BTC/USDT,9417.04,9458.64,9124.99,9246.01,35002.03388,325019389.2,285951,2018,4
9,1.52772E+12,10,BTC/USDT,7382.07,7699,7327.51,7485.01,30776.0631,231017579.8,274399,2018,5
10,1.53032E+12,11,BTC/USDT,6197.92,6528.99,6186.03,6390.07,37919.61284,241568568,230915,2018,6
11,1.533E+12,12,BTC/USDT,8171.4,8180,7633,7730.93,48296.91559,379841367.2,239132,2018,7
12,1.53567E+12,13,BTC/USDT,6984.84,7089,6888,7011.21,40467.40064,282722730.1,203142,2018,8
13,1.53827E+12,14,BTC/USDT,6597.66,6662,6533,6626.57,27764.72452,183438992.4,153447,2018,9
14,1.54094E+12,15,BTC/USDT,6330.01,6428,6245.02,6371.93,12148.88822,76970488.28,111552,2018,10
15,1.54354E+12,16,BTC/USDT,4295.72,4341.36,3943,4041.32,67758.44628,278810574.9,288098,2018,11
16,1.54621E+12,17,BTC/USDT,3803.12,3810,3630.33,3702.9,29991.77835,111847216.1,190308,2018,12
17,1.54889E+12,18,BTC/USDT,3457.5,3489.2,3418.8,3434.1,29607.19025,101928347,198100,2019,1
18,1.55131E+12,19,BTC/USDT,3818.04,3888,3763.87,3813.69,32561.96104,124703738.4,233849,2019,2
19,1.55399E+12,20,BTC/USDT,4106.99,4116.12,4082.57,4103.95,13525.08743,55472147.13,124046,2019,3
20,1.55658E+12,21,BTC/USDT,5238.14,5339.98,5192.15,5320.81,22238.06823,117309839.2,180989,2019,4
21,1.55926E+12,22,BTC/USDT,8267.1,8594,8108.5,8555,44727.49162,373629673.9,416525,2019,5
22,1.56185E+12,23,BTC/USDT,11903.13,12180,10766.03,10854.1,84512.53044,971151050.9,711267,2019,6
23,1.56453E+12,24,BTC/USDT,9575,10109.8,9555,10080.53,39515.35456,389690761.4,364212,2019,7
24,1.56721E+12,25,BTC/USDT,9582.76,9684.51,9420.75,9587.47,17130.29007,164116756.5,199188,2019,8
25,1.5698E+12,26,BTC/USDT,8043.04,8337.26,7710,8289.34,55865.48726,449120676.8,455556,2019,9
26,1.57248E+12,27,BTC/USDT,9154.02,9405,8913,9140.85,54376.0249,498152743.7,490183,2019,10
27,1.57507E+12,28,BTC/USDT,7740.99,7810,7441,7541.89,46989.43362,358749026.4,346506,2019,11
28,1.57775E+12,29,BTC/USDT,7246,7320,7145.01,7195.23,25954.45353,187518399.3,251976,2019,12
29,1.58043E+12,30,BTC/USDT,9511.52,9530.22,9210.01,9352.89,45552.02235,425779010.4,428547,2020,1
30,1.58293E+12,31,BTC/USDT,8690.8,8790,8523.55,8523.61,36748.18304,318585952,414175,2020,2
31,1.58561E+12,32,BTC/USDT,6394.45,6523.23,6321.4,6410.44,72337.59526,465780496.6,538231,2020,3
32,1.5882E+12,33,BTC/USDT,8778.58,9460,8401,8620,206277.2141,1839283907,1661554,2020,4
33,1.59088E+12,34,BTC/USDT,9697.72,9700,9381.41,9448.27,48333.7864,461272298.9,651473,2020,5
34,1.59348E+12,35,BTC/USDT,9192.93,9205,9064.89,9138.55,31463.1628,287781334.5,328083,2020,6
35,1.59615E+12,36,BTC/USDT,11099.79,11444,10960,11335.46,70063.66097,786344325.9,971584,2020,7
36,1.59883E+12,37,BTC/USDT,11711.17,11800.77,11570,11649.51,55353.61774,646723855.6,822062,2020,8
37,1.60142E+12,38,BTC/USDT,10840.58,10849.34,10665.13,10776.59,39596.02732,425279696.3,595383,2020,9
38,1.6041E+12,39,BTC/USDT,13560.1,14100,13411.5,13791,67339.23852,927048458.5,1022202,2020,10
39,1.60669E+12,40,BTC/USDT,18185,19863.16,18184.99,19695.87,115463.4669,2205929120,1744149,2020,11
40,1.60937E+12,41,BTC/USDT,28875.55,29300,27850,28923.63,75508.50515,2173600125,1552793,2020,12
41,1.61205E+12,42,BTC/USDT,34262.89,34342.69,32171.67,33092.98,68742.28038,2289641046,1707064,2021,1
42,1.61447E+12,43,BTC/USDT,46103.67,46638.46,43000,45135.66,83055.36904,3708359965,1838345,2021,2
43,1.61715E+12,44,BTC/USDT,58746.57,59800,56769,58740.55,60975.54267,3575976084,1928224,2021,3
44,1.61974E+12,45,BTC/USDT,53555,57963,53013.01,57694.27,68578.91005,3808187373,2267648,2021,4
45,1.62078E+12,46,BTC/USDT,56670.02,56704.83,56555.12,56650.96,145.325282,8230297.179,5679,2021,5
